H 1 1.00494m
H 1 1.09381m
H 1 1.28181m
H 1 1.87510m
H 1 2.16553m
H 1 1025.72A
H 1 1215.67A
H 1 3679.35A
H 1 3682.81A
H 1 3686.83A
H 1 3691.55A
H 1 3697.15A
H 1 3703.85A
H 1 3711.97A
H 1 3721.94A
H 1 3734.37A
H 1 3750.15A
H 1 3770.63A
H 1 3797.90A
H 1 3835.38A
H 1 3889.05A
H 1 3970.07A
H 1 4101.73A
H 1 4340.46A
H 1 4861.32A
H 1 6562.80A
H 1 8374.48A
H 1 8392.40A
H 1 8413.32A
H 1 8437.96A
H 1 8467.26A
H 1 8502.49A
H 1 8545.39A
H 1 8598.40A
H 1 8665.02A
H 1 8750.48A
H 1 8862.79A
H 1 9014.91A
H 1 9229.02A
H 1 9545.97A
He 1 2829.08A
He 1 2945.10A
He 1 3187.74A
He 1 3888.64A
He 1 3964.73A
He 1 4026.19A
He 1 4471.47A
He 1 4471.49A
He 1 4921.93A
He 1 5015.68A
He 1 5875.61A
He 1 5875.64A
He 1 5875.98A
He 1 6678.15A
He 1 7065.18A
He 1 7065.22A
He 1 7065.71A
He 1 7281.35A
He 2 1025.27A
He 2 1084.94A
He 2 1215.13A
He 2 1640.41A
He 2 2306.18A
He 2 2385.39A
He 2 2511.19A
He 2 2733.28A
He 2 3203.08A
He 2 4685.68A
He 2 5411.45A
He 2 6560.01A
